country,year,time_period,removal_request_court,removal_request_other,accounts_specified,accounts_witheld,tweets_witheld,accounts_witheld_tos,percent_of_witheld_content
France,2012,January - June 2012,0,1,2,NA,NA,NA,0
Greece,2012,January - June 2012,2,0,2,NA,NA,NA,0
Pakistan,2012,January - June 2012,0,1,1,NA,NA,NA,0
Turkey,2012,January - June 2012,1,0,7,NA,NA,NA,0
United Kingdom,2012,January - June 2012,0,1,6,NA,NA,NA,0
Afghanistan,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Argentina,2018,January - June 2018,0,10,10,0,0,0,0
Australia,2018,January - June 2018,1,6,9,0,10,0,0.29
Austria,2018,January - June 2018,0,1,1,0,0,0,0
Azerbaijan,2018,January - June 2018,0,1,1,0,0,1,0
Bahrain,2018,January - June 2018,0,2,2,0,0,0,0
Belarus,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Belgium,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Brazil,2018,January - June 2018,15,27,89,0,52,26,0.21
Canada,2018,January - June 2018,0,8,8,0,0,4,0
Chile,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Colombia,2018,January - June 2018,0,2,2,0,0,0,0
Croatia,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Cyprus,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Czech Republic,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Dominican Republic,2018,January - June 2018,0,3,3,0,0,0,0
Ecuador,2018,January - June 2018,2,2,5,0,0,2,0
Egypt,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Estonia,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Finland,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
France,2018,January - June 2018,2,131,313,0,55,160,0.03
Georgia,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Germany,2018,January - June 2018,2,31,54,0,66,8,0.12
Greece,2018,January - June 2018,0,1,1,0,0,1,0
Haiti,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Hong Kong,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
India,2018,January - June 2018,9,237,1694,19,498,142,0.05
Indonesia,2018,January - June 2018,0,189,1683,0,0,522,0
Iraq,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Ireland,2018,January - June 2018,0,11,60,0,51,3,0.27
Israel,2018,January - June 2018,0,3,42,22,0,11,0.33
Italy,2018,January - June 2018,0,6,6,0,0,3,0
Japan,2018,January - June 2018,9,187,1101,2,82,482,0.06
Kazakhstan,2018,January - June 2018,1,1,6,0,0,1,0
Kenya,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Kuwait,2018,January - June 2018,0,3,3,0,0,1,0
Lebanon,2018,January - June 2018,0,3,3,0,0,0,0
Luxembourg,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Malaysia,2018,January - June 2018,0,12,29,0,0,20,0
Maldives,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Mexico,2018,January - June 2018,0,2,4,0,0,1,0
Mongolia,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Nepal,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Netherlands,2018,January - June 2018,0,3,4,0,4,3,0
New Zealand,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Norway,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Oman,2018,January - June 2018,0,3,35,0,0,8,0
Pakistan,2018,January - June 2018,3,240,3004,0,0,141,0
Panama,2018,January - June 2018,3,1,4,0,0,0,0
Paraguay,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Philippines,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Poland,2018,January - June 2018,0,3,14,0,0,2,0
Portugal,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Qatar,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Russia,2018,January - June 2018,56,1585,2053,59,357,764,0.27
Saudi Arabia,2018,January - June 2018,0,8,9,0,0,4,0
Serbia,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Singapore,2018,January - June 2018,0,2,1,0,0,0,0
South Africa,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
South Korea,2018,January - June 2018,1,142,1019,0,2,889,0.01
Spain,2018,January - June 2018,4,6,10,0,0,0,0
Sri Lanka,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Sweden,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Switzerland,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Thailand,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Turkey,2018,January - June 2018,508,8480,13843,425,1464,2560,0.18
Ukraine,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,2018,January - June 2018,0,111,2209,0,0,1828,0
United Kingdom,2018,January - June 2018,12,54,249,0,15,48,0.08
United States,2018,January - June 2018,0,99,228,0,0,173,0
Uruguay,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Uzbekistan,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Venezuela,2018,January - June 2018,NA,NA,NA,NA,NA,NA,NA
Afghanistan,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Argentina,2018,July - December 2018,2,1,115,0,0,24,0.33
Australia,2018,July - December 2018,1,13,20,0,8,4,0.15
Austria,2018,July - December 2018,0,2,2,0,0,0,0
Azerbaijan,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Bahrain,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Belarus,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Belgium,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Brazil,2018,July - December 2018,92,27,512,1,142,35,0.29
Bulgaria,2018,July - December 2018,0,1,7,0,0,3,0
Canada,2018,July - December 2018,0,6,9,0,0,3,0
Chile,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Colombia,2018,July - December 2018,0,4,4,0,0,1,0
Croatia,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Cyprus,2018,July - December 2018,0,2,2,0,0,1,0
Czech Republic,2018,July - December 2018,0,2,2,0,0,1,0
Denmark,2018,July - December 2018,0,4,5,0,0,3,0
Dominican Republic,2018,July - December 2018,0,1,1,0,0,0,0
Ecuador,2018,July - December 2018,0,4,25,0,0,20,0
Egypt,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Estonia,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Finland,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
France,2018,July - December 2018,0,110,126,1,6,58,0.08
Georgia,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Germany,2018,July - December 2018,3,39,44,0,39,10,0.12
Greece,2018,July - December 2018,0,1,2,0,0,0,0
Haiti,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Hong Kong,2018,July - December 2018,0,2,2,0,0,1,0
India,2018,July - December 2018,10,657,2228,95,114,320,0.02
Indonesia,2018,July - December 2018,0,327,3015,0,0,366,0
Iraq,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Ireland,2018,July - December 2018,0,8,107,0,0,1,0
Israel,2018,July - December 2018,0,2,3,0,0,2,0
Italy,2018,July - December 2018,1,5,9,0,0,4,0
Japan,2018,July - December 2018,16,663,1679,0,363,1187,0.02
Kazakhstan,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
Kenya,2018,July - December 2018,NA,NA,NA,NA,NA,NA,NA
